County or equivalent,State or equivalent,Population (2019 estimate),Core Based Statistical Area
Randolph,Indiana,"24,665",
Ripley,Indiana,"28,324",
Rush,Indiana,"16,581",
St. Joseph,Indiana,"271,826","South Bend-Mishawaka, IN-MI Metropolitan Statistical Area"
Scott,Indiana,"23,873","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Shelby,Indiana,"44,729","Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area"
Spencer,Indiana,"20,277",
Starke,Indiana,"22,995",
Steuben,Indiana,"34,594","Angola, IN Micropolitan Statistical Area"
Sullivan,Indiana,"20,669","Terre Haute, IN Metropolitan Statistical Area"
Switzerland,Indiana,"10,751",
Tippecanoe,Indiana,"195,732","Lafayette-West Lafayette, IN Metropolitan Statistical Area"
Tipton,Indiana,"15,148",
Union,Indiana,"7,054","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Vanderburgh,Indiana,"181,451","Evansville, IN-KY Metropolitan Statistical Area"
Vermillion,Indiana,"15,498","Terre Haute, IN Metropolitan Statistical Area"
Vigo,Indiana,"107,038","Terre Haute, IN Metropolitan Statistical Area"
Wabash,Indiana,"30,996","Wabash, IN Micropolitan Statistical Area"
Warren,Indiana,"8,265",
Warrick,Indiana,"62,998","Evansville, IN-KY Metropolitan Statistical Area"
Washington,Indiana,"28,036","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Wayne,Indiana,"65,884","Richmond, IN Micropolitan Statistical Area"
Wells,Indiana,"28,296","Fort Wayne, IN Metropolitan Statistical Area"
White,Indiana,"24,102",
Whitley,Indiana,"33,964","Fort Wayne, IN Metropolitan Statistical Area"
Adair,Iowa,"7,152",
Adams,Iowa,"3,602",
Allamakee,Iowa,"13,687",
Appanoose,Iowa,"12,426",
Audubon,Iowa,"5,496",
Benton,Iowa,"25,645","Cedar Rapids, IA Metropolitan Statistical Area"
Black Hawk,Iowa,"131,228","Waterloo-Cedar Falls, IA Metropolitan Statistical Area"
Boone,Iowa,"26,234","Boone, IA Micropolitan Statistical Area"
Bremer,Iowa,"25,062","Waterloo-Cedar Falls, IA Metropolitan Statistical Area"
Buchanan,Iowa,"21,175",
Buena Vista,Iowa,"19,620","Storm Lake, IA Micropolitan Statistical Area"
Butler,Iowa,"14,439",
Calhoun,Iowa,"9,668",
Carroll,Iowa,"20,165",
Cass,Iowa,"12,836",
Cedar,Iowa,"18,627",
Cerro Gordo,Iowa,"42,450","Mason City, IA Micropolitan Statistical Area"
Cherokee,Iowa,"11,235",
Chickasaw,Iowa,"11,933",
Clarke,Iowa,"9,395",
Clay,Iowa,"16,016","Spencer, IA Micropolitan Statistical Area"
Clayton,Iowa,"17,549",
Clinton,Iowa,"46,429","Clinton, IA Micropolitan Statistical Area"
Crawford,Iowa,"16,820",
Dallas,Iowa,"93,453","Des Moines-West Des Moines, IA Metropolitan Statistical Area"
Davis,Iowa,"9,000","Ottumwa, IA Micropolitan Statistical Area"
Decatur,Iowa,"7,870",
Delaware,Iowa,"17,011",
Des Moines,Iowa,"38,967","Burlington, IA-IL Micropolitan Statistical Area"
Dickinson,Iowa,"17,258","Spirit Lake, IA Micropolitan Statistical Area"
Dubuque,Iowa,"97,311","Dubuque, IA Metropolitan Statistical Area"
Emmet,Iowa,"9,208",
Fayette,Iowa,"19,650",
Floyd,Iowa,"15,642",
Franklin,Iowa,"10,070",
Fremont,Iowa,"6,960",
Greene,Iowa,"8,888",
Grundy,Iowa,"12,232","Waterloo-Cedar Falls, IA Metropolitan Statistical Area"
Guthrie,Iowa,"10,689","Des Moines-West Des Moines, IA Metropolitan Statistical Area"
Hamilton,Iowa,"14,773",
Hancock,Iowa,"10,630",
Hardin,Iowa,"16,846",
Harrison,Iowa,"14,049","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area"
Henry,Iowa,"19,954",
Howard,Iowa,"9,158",
Humboldt,Iowa,"9,558",
Ida,Iowa,"6,860",
Iowa,Iowa,"16,184",
Jackson,Iowa,"19,439",
Jasper,Iowa,"37,185","Newton, IA Micropolitan Statistical Area"
Jefferson,Iowa,"18,295","Fairfield, IA Micropolitan Statistical Area"
Johnson,Iowa,"151,140","Iowa City, IA Metropolitan Statistical Area"
Jones,Iowa,"20,681","Cedar Rapids, IA Metropolitan Statistical Area"
Keokuk,Iowa,"10,246",
Kossuth,Iowa,"14,813",
Lee,Iowa,"33,657","Fort Madison-Keokuk, IA-IL-MO Micropolitan Statistical Area"
Linn,Iowa,"226,706","Cedar Rapids, IA Metropolitan Statistical Area"
Louisa,Iowa,"11,035",
Lucas,Iowa,"8,600",
Lyon,Iowa,"11,755",
Madison,Iowa,"16,338","Des Moines-West Des Moines, IA Metropolitan Statistical Area"
Mahaska,Iowa,"22,095","Oskaloosa, IA Micropolitan Statistical Area"
Marion,Iowa,"33,253",
Marshall,Iowa,"39,369","Marshalltown, IA Micropolitan Statistical Area"
Mills,Iowa,"15,109","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area"
Mitchell,Iowa,"10,586",
Monona,Iowa,"8,615",
Monroe,Iowa,"7,707",
Montgomery,Iowa,"9,917",
Muscatine,Iowa,"42,664","Muscatine, IA Micropolitan Statistical Area"
O'Brien,Iowa,"13,753",
Osceola,Iowa,"5,958",
Page,Iowa,"15,107",
Palo Alto,Iowa,"8,886",
Plymouth,Iowa,"25,177","Sioux City, IA-NE-SD Metropolitan Statistical Area"
Pocahontas,Iowa,"6,619",
Polk,Iowa,"490,161","Des Moines-West Des Moines, IA Metropolitan Statistical Area"
Pottawattamie,Iowa,"93,206","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area"
Poweshiek,Iowa,"18,504",
Ringgold,Iowa,"4,894",
Sac,Iowa,"9,721",
Scott,Iowa,"172,943","Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area"
Shelby,Iowa,"11,454",
Sioux,Iowa,"34,855",
Story,Iowa,"97,117","Ames, IA Metropolitan Statistical Area"
Tama,Iowa,"16,854",
Taylor,Iowa,"6,121",
Union,Iowa,"12,241",
Van Buren,Iowa,"7,044",
Wapello,Iowa,"34,969","Ottumwa, IA Micropolitan Statistical Area"
Warren,Iowa,"51,466","Des Moines-West Des Moines, IA Metropolitan Statistical Area"
Washington,Iowa,"21,965","Iowa City, IA Metropolitan Statistical Area"
Wayne,Iowa,"6,441",
Webster,Iowa,"35,904","Fort Dodge, IA Micropolitan Statistical Area"
Winnebago,Iowa,"10,354",
Winneshiek,Iowa,"19,991",
Woodbury,Iowa,"103,107","Sioux City, IA-NE-SD Metropolitan Statistical Area"
Worth,Iowa,"7,381","Mason City, IA Micropolitan Statistical Area"
Wright,Iowa,"12,562",
Allen,Kansas,"12,369",
Anderson,Kansas,"7,858",
Atchison,Kansas,"16,073","Atchison, KS Micropolitan Statistical Area"
Barber,Kansas,"4,427",
Barton,Kansas,"25,779","Great Bend, KS Micropolitan Statistical Area"
Bourbon,Kansas,"14,534",
Brown,Kansas,"9,564",
Butler,Kansas,"66,911","Wichita, KS Metropolitan Statistical Area"
Chase,Kansas,"2,648",
Chautauqua,Kansas,"3,250",
Cherokee,Kansas,"19,939",
Cheyenne,Kansas,"2,657",
Clark,Kansas,"1,994",
Clay,Kansas,"8,002",
Cloud,Kansas,"8,786",
Coffey,Kansas,"8,179",
Comanche,Kansas,"1,700",
Cowley,Kansas,"34,908","Arkansas City-Winfield, KS Micropolitan Statistical Area"
Crawford,Kansas,"38,818","Pittsburg, KS Micropolitan Statistical Area"
Decatur,Kansas,"2,827",
Dickinson,Kansas,"18,466",
Doniphan,Kansas,"7,600","St. Joseph, MO-KS Metropolitan Statistical Area"
Douglas,Kansas,"122,259","Lawrence, KS Metropolitan Statistical Area"
Edwards,Kansas,"2,798",
Elk,Kansas,"2,530",
Ellis,Kansas,"28,553","Hays, KS Micropolitan Statistical Area"
Ellsworth,Kansas,"6,102",
Finney,Kansas,"36,467","Garden City, KS Micropolitan Statistical Area"
Ford,Kansas,"33,619","Dodge City, KS Micropolitan Statistical Area"
Franklin,Kansas,"25,544","Ottawa, KS Micropolitan Statistical Area"
Geary,Kansas,"31,670","Junction City, KS Micropolitan Statistical Area"
Gove,Kansas,"2,636",
Graham,Kansas,"2,482",
Grant,Kansas,"7,150",
Gray,Kansas,"5,988",
Greeley,Kansas,"1,232",
Greenwood,Kansas,"5,982",
Hamilton,Kansas,"2,539",
Harper,Kansas,"5,436",
Harvey,Kansas,"34,429","Wichita, KS Metropolitan Statistical Area"
Haskell,Kansas,"3,968",
Hodgeman,Kansas,"1,794",
Jackson,Kansas,"13,171","Topeka, KS Metropolitan Statistical Area"
Jefferson,Kansas,"19,043","Topeka, KS Metropolitan Statistical Area"
Jewell,Kansas,"2,879",
Johnson,Kansas,"602,401","Kansas City, MO-KS Metropolitan Statistical Area"
Kearny,Kansas,"3,838","Garden City, KS Micropolitan Statistical Area"
Kingman,Kansas,"7,152","Wichita, KS Metropolitan Statistical Area"
Kiowa,Kansas,"2,475",
Labette,Kansas,"19,618","Parsons, KS Micropolitan Statistical Area"
Lane,Kansas,"1,535",
Leavenworth,Kansas,"81,758","Kansas City, MO-KS Metropolitan Statistical Area"
Lincoln,Kansas,"2,962",
Linn,Kansas,"9,703","Kansas City, MO-KS Metropolitan Statistical Area"
Logan,Kansas,"2,794",
Lyon,Kansas,"33,195","Emporia, KS Micropolitan Statistical Area"
McPherson,Kansas,"28,542","McPherson, KS Micropolitan Statistical Area"
Marion,Kansas,"11,884",
Marshall,Kansas,"9,707",
Meade,Kansas,"4,033",
Miami,Kansas,"34,237","Kansas City, MO-KS Metropolitan Statistical Area"
Mitchell,Kansas,"5,979",
Montgomery,Kansas,"31,829","Coffeyville, KS Micropolitan Statistical Area"
Morris,Kansas,"5,620",
Morton,Kansas,"2,587",
Nemaha,Kansas,"10,231",
Neosho,Kansas,"16,007",
Ness,Kansas,"2,750",
Norton,Kansas,"5,361",
Osage,Kansas,"15,949","Topeka, KS Metropolitan Statistical Area"
Osborne,Kansas,"3,421",
Ottawa,Kansas,"5,704","Salina, KS Micropolitan Statistical Area"
Pawnee,Kansas,"6,414",
Phillips,Kansas,"5,234",
Pottawatomie,Kansas,"24,383","Manhattan, KS Metropolitan Statistical Area"
Pratt,Kansas,"9,164",
Rawlins,Kansas,"2,530",
Reno,Kansas,"61,998","Hutchinson, KS Micropolitan Statistical Area"
Republic,Kansas,"4,636",
Rice,Kansas,"9,537",
Riley,Kansas,"74,232","Manhattan, KS Metropolitan Statistical Area"
Rooks,Kansas,"4,920",
Rush,Kansas,"3,036",
Russell,Kansas,"6,856",
Saline,Kansas,"54,224","Salina, KS Micropolitan Statistical Area"
Scott,Kansas,"4,823",
Sedgwick,Kansas,"516,042","Wichita, KS Metropolitan Statistical Area"
Seward,Kansas,"21,428","Liberal, KS Micropolitan Statistical Area"
Shawnee,Kansas,"176,875","Topeka, KS Metropolitan Statistical Area"
Sheridan,Kansas,"2,521",
Sherman,Kansas,"5,917",
Smith,Kansas,"3,583",
Stafford,Kansas,"4,156",
Stanton,Kansas,"2,006",
Stevens,Kansas,"5,485",
Sumner,Kansas,"22,836","Wichita, KS Metropolitan Statistical Area"
Thomas,Kansas,"7,777",
Trego,Kansas,"2,803",
Wabaunsee,Kansas,"6,931","Topeka, KS Metropolitan Statistical Area"
Wallace,Kansas,"1,518",
Washington,Kansas,"5,406",
Wichita,Kansas,"2,119",
Wilson,Kansas,"8,525",
Woodson,Kansas,"3,138",
Wyandotte,Kansas,"165,429","Kansas City, MO-KS Metropolitan Statistical Area"
Adair,Kentucky,"19,202",
Allen,Kentucky,"21,315","Bowling Green, KY Metropolitan Statistical Area"
Anderson,Kentucky,"22,747","Frankfort, KY Micropolitan Statistical Area"
Ballard,Kentucky,"7,888","Paducah, KY-IL Micropolitan Statistical Area"
Barren,Kentucky,"44,249","Glasgow, KY Micropolitan Statistical Area"
Bath,Kentucky,"12,500","Mount Sterling, KY Micropolitan Statistical Area"
Bell,Kentucky,"26,032","Middlesborough, KY Micropolitan Statistical Area"
Boone,Kentucky,"133,581","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Bourbon,Kentucky,"19,788","Lexington-Fayette, KY Metropolitan Statistical Area"
Boyd,Kentucky,"46,718","Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area"
Boyle,Kentucky,"30,060","Danville, KY Micropolitan Statistical Area"
Bracken,Kentucky,"8,303","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Breathitt,Kentucky,"12,630",
Breckinridge,Kentucky,"20,477",
Bullitt,Kentucky,"81,676","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Butler,Kentucky,"12,879","Bowling Green, KY Metropolitan Statistical Area"
Caldwell,Kentucky,"12,747",
Calloway,Kentucky,"39,001","Murray, KY Micropolitan Statistical Area"
Campbell,Kentucky,"93,584","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Carlisle,Kentucky,"4,760",
Carroll,Kentucky,"10,631",
Carter,Kentucky,"26,797",
Casey,Kentucky,"16,159",
Christian,Kentucky,"70,461","Clarksville, TN-KY Metropolitan Statistical Area"
Clark,Kentucky,"36,263","Lexington-Fayette, KY Metropolitan Statistical Area"
Clay,Kentucky,"19,901",
Clinton,Kentucky,"10,218",
Crittenden,Kentucky,"8,806",
Cumberland,Kentucky,"6,614",
Daviess,Kentucky,"101,511","Owensboro, KY Metropolitan Statistical Area"
Edmonson,Kentucky,"12,150","Bowling Green, KY Metropolitan Statistical Area"
Elliott,Kentucky,"7,517",
Estill,Kentucky,"14,106",
Fayette,Kentucky,"323,152","Lexington-Fayette, KY Metropolitan Statistical Area"
Fleming,Kentucky,"14,581",
Floyd,Kentucky,"35,589",
Franklin,Kentucky,"50,991","Frankfort, KY Micropolitan Statistical Area"
Fulton,Kentucky,"5,969",
Gallatin,Kentucky,"8,869","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Garrard,Kentucky,"17,666",
Grant,Kentucky,"25,069","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Graves,Kentucky,"37,266","Mayfield, KY Micropolitan Statistical Area"
Grayson,Kentucky,"26,427",
Green,Kentucky,"10,941",
Greenup,Kentucky,"35,098","Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area"
Hancock,Kentucky,"8,722","Owensboro, KY Metropolitan Statistical Area"
Hardin,Kentucky,"110,958","Elizabethtown-Fort Knox, KY Metropolitan Statistical Area"
Harlan,Kentucky,"26,010",
Harrison,Kentucky,"18,886",
Hart,Kentucky,"19,035",
Henderson,Kentucky,"45,210","Evansville, IN-KY Metropolitan Statistical Area"
Henry,Kentucky,"16,126","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Hickman,Kentucky,"4,380",
Hopkins,Kentucky,"44,686","Madisonville, KY Micropolitan Statistical Area"
Jackson,Kentucky,"13,329",
Jefferson,Kentucky,"766,757","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Jessamine,Kentucky,"54,115","Lexington-Fayette, KY Metropolitan Statistical Area"
Johnson,Kentucky,"22,188",
Kenton,Kentucky,"166,998","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Knott,Kentucky,"14,806",
Knox,Kentucky,"31,145","London, KY Micropolitan Statistical Area"
LaRue,Kentucky,"14,398","Elizabethtown-Fort Knox, KY Metropolitan Statistical Area"
Laurel,Kentucky,"60,813","London, KY Micropolitan Statistical Area"
Lawrence,Kentucky,"15,317",
Lee,Kentucky,"7,403",
Leslie,Kentucky,"9,877",
Letcher,Kentucky,"21,553",
Lewis,Kentucky,"13,275",
Lincoln,Kentucky,"24,549","Danville, KY Micropolitan Statistical Area"
Livingston,Kentucky,"9,194","Paducah, KY-IL Micropolitan Statistical Area"
Logan,Kentucky,"27,102",
Lyon,Kentucky,"8,210",
McCracken,Kentucky,"65,418","Paducah, KY-IL Micropolitan Statistical Area"
McCreary,Kentucky,"17,231",
McLean,Kentucky,"9,207","Owensboro, KY Metropolitan Statistical Area"
Madison,Kentucky,"92,987","Richmond-Berea, KY Micropolitan Statistical Area"
Magoffin,Kentucky,"12,161",
Marion,Kentucky,"19,273",
Marshall,Kentucky,"31,100",
Martin,Kentucky,"11,195",
Mason,Kentucky,"17,070","Maysville, KY Micropolitan Statistical Area"
Meade,Kentucky,"28,572","Elizabethtown-Fort Knox, KY Metropolitan Statistical Area"
Menifee,Kentucky,"6,489","Mount Sterling, KY Micropolitan Statistical Area"
Mercer,Kentucky,"21,933",
Metcalfe,Kentucky,"10,071","Glasgow, KY Micropolitan Statistical Area"
Monroe,Kentucky,"10,650",
Montgomery,Kentucky,"28,157","Mount Sterling, KY Micropolitan Statistical Area"
Morgan,Kentucky,"13,309",
Muhlenberg,Kentucky,"30,622",
Nelson,Kentucky,"46,233","Bardstown, KY Micropolitan Statistical Area"
Nicholas,Kentucky,"7,269",
Ohio,Kentucky,"23,994",
Oldham,Kentucky,"66,799","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Owen,Kentucky,"10,901",
Owsley,Kentucky,"4,415",
Pendleton,Kentucky,"14,590","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Perry,Kentucky,"25,758",
Pike,Kentucky,"57,876",
Powell,Kentucky,"12,359",
Pulaski,Kentucky,"64,979","Somerset, KY Micropolitan Statistical Area"
Robertson,Kentucky,"2,108",
Rockcastle,Kentucky,"16,695","Richmond-Berea, KY Micropolitan Statistical Area"
Rowan,Kentucky,"24,460",
Russell,Kentucky,"17,923",
Scott,Kentucky,"57,004","Lexington-Fayette, KY Metropolitan Statistical Area"
Shelby,Kentucky,"49,024","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Simpson,Kentucky,"18,572",
Spencer,Kentucky,"19,351","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Taylor,Kentucky,"25,769","Campbellsville, KY Micropolitan Statistical Area"
Todd,Kentucky,"12,294",
Trigg,Kentucky,"14,651","Clarksville, TN-KY Metropolitan Statistical Area"
Trimble,Kentucky,"8,471","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Union,Kentucky,"14,381",
Warren,Kentucky,"132,896","Bowling Green, KY Metropolitan Statistical Area"
Washington,Kentucky,"12,095",
Wayne,Kentucky,"20,333",
Webster,Kentucky,"12,942",
Whitley,Kentucky,"36,264","London, KY Micropolitan Statistical Area"
Wolfe,Kentucky,"7,157",
Woodford,Kentucky,"26,734","Lexington-Fayette, KY Metropolitan Statistical Area"
Acadia Parish,Louisiana,"62,045","Lafayette, LA Metropolitan Statistical Area"
Allen Parish,Louisiana,"25,627",
Ascension Parish,Louisiana,"126,604","Baton Rouge, LA Metropolitan Statistical Area"
Assumption Parish,Louisiana,"21,891",
Avoyelles Parish,Louisiana,"40,144",
Beauregard Parish,Louisiana,"37,497","DeRidder, LA Micropolitan Statistical Area"
Bienville Parish,Louisiana,"13,241",
Bossier Parish,Louisiana,"127,039","Shreveport-Bossier City, LA Metropolitan Statistical Area"
Caddo Parish,Louisiana,"240,204","Shreveport-Bossier City, LA Metropolitan Statistical Area"
Calcasieu Parish,Louisiana,"203,436","Lake Charles, LA Metropolitan Statistical Area"
Caldwell Parish,Louisiana,"9,918",
Cameron Parish,Louisiana,"6,973","Lake Charles, LA Metropolitan Statistical Area"
Catahoula Parish,Louisiana,"9,494",
Claiborne Parish,Louisiana,"15,670",
Concordia Parish,Louisiana,"19,259","Natchez, MS-LA Micropolitan Statistical Area"
De Soto Parish,Louisiana,"27,463","Shreveport-Bossier City, LA Metropolitan Statistical Area"
East Baton Rouge Parish,Louisiana,"440,059","Baton Rouge, LA Metropolitan Statistical Area"
East Carroll Parish,Louisiana,"6,861",
East Feliciana Parish,Louisiana,"19,135","Baton Rouge, LA Metropolitan Statistical Area"
Evangeline Parish,Louisiana,"33,395",
Franklin Parish,Louisiana,"20,015",
Grant Parish,Louisiana,"22,389","Alexandria, LA Metropolitan Statistical Area"
Iberia Parish,Louisiana,"69,830","Lafayette, LA Metropolitan Statistical Area"
Iberville Parish,Louisiana,"32,511","Baton Rouge, LA Metropolitan Statistical Area"
Jackson Parish,Louisiana,"15,744",
Jefferson Parish,Louisiana,"432,493","New Orleans-Metairie, LA Metropolitan Statistical Area"
Jefferson Davis Parish,Louisiana,"31,368",
Lafayette Parish,Louisiana,"244,390","Lafayette, LA Metropolitan Statistical Area"
Lafourche Parish,Louisiana,"97,614","Houma-Thibodaux, LA Metropolitan Statistical Area"
LaSalle Parish,Louisiana,"14,892",
Lincoln Parish,Louisiana,"46,742","Ruston, LA Micropolitan Statistical Area"
Livingston Parish,Louisiana,"140,789","Baton Rouge, LA Metropolitan Statistical Area"
Madison Parish,Louisiana,"10,951",
Morehouse Parish,Louisiana,"24,874","Bastrop, LA Micropolitan Statistical Area"
Natchitoches Parish,Louisiana,"38,158","Natchitoches, LA Micropolitan Statistical Area"
Orleans Parish[q],Louisiana,"390,144","New Orleans-Metairie, LA Metropolitan Statistical Area"
Ouachita Parish,Louisiana,"153,279","Monroe, LA Metropolitan Statistical Area"
Plaquemines Parish,Louisiana,"23,197","New Orleans-Metairie, LA Metropolitan Statistical Area"
Pointe Coupee Parish,Louisiana,"21,730","Baton Rouge, LA Metropolitan Statistical Area"
Rapides Parish,Louisiana,"129,648","Alexandria, LA Metropolitan Statistical Area"
Red River Parish,Louisiana,"8,442",
Richland Parish,Louisiana,"20,122",
Sabine Parish,Louisiana,"23,884",
St. Bernard Parish,Louisiana,"47,244","New Orleans-Metairie, LA Metropolitan Statistical Area"
St. Charles Parish,Louisiana,"53,100","New Orleans-Metairie, LA Metropolitan Statistical Area"
St. Helena Parish,Louisiana,"10,132","Baton Rouge, LA Metropolitan Statistical Area"
St. James Parish,Louisiana,"21,096","New Orleans-Metairie, LA Metropolitan Statistical Area"
St. John the Baptist Parish,Louisiana,"42,837","New Orleans-Metairie, LA Metropolitan Statistical Area"
St. Landry Parish,Louisiana,"82,124","Opelousas, LA Micropolitan Statistical Area"
St. Martin Parish,Louisiana,"53,431","Lafayette, LA Metropolitan Statistical Area"
St. Mary Parish,Louisiana,"49,348","Morgan City, LA Micropolitan Statistical Area"
St. Tammany Parish,Louisiana,"260,419","New Orleans-Metairie, LA Metropolitan Statistical Area"
Tangipahoa Parish,Louisiana,"134,758","Hammond, LA Metropolitan Statistical Area"
Tensas Parish,Louisiana,"4,334",
Terrebonne Parish,Louisiana,"110,461","Houma-Thibodaux, LA Metropolitan Statistical Area"
Union Parish,Louisiana,"22,108","Monroe, LA Metropolitan Statistical Area"
Vermilion Parish,Louisiana,"59,511","Lafayette, LA Metropolitan Statistical Area"
Vernon Parish,Louisiana,"47,429","Fort Polk South, LA Micropolitan Statistical Area"
Washington Parish,Louisiana,"46,194","Bogalusa, LA Micropolitan Statistical Area"
Webster Parish,Louisiana,"38,340","Shreveport-Bossier City, LA Metropolitan Statistical Area"
West Baton Rouge Parish,Louisiana,"26,465","Baton Rouge, LA Metropolitan Statistical Area"
West Carroll Parish,Louisiana,"10,830",
West Feliciana Parish,Louisiana,"15,568","Baton Rouge, LA Metropolitan Statistical Area"
Winn Parish,Louisiana,"13,904",
Androscoggin,Maine,"108,277","Lewiston-Auburn, ME Metropolitan Statistical Area"
Aroostook,Maine,"67,055",
Cumberland,Maine,"295,003","Portland-South Portland, ME Metropolitan Statistical Area"
Franklin,Maine,"30,199",
Hancock,Maine,"54,987",
Kennebec,Maine,"122,302","Augusta-Waterville, ME Micropolitan Statistical Area"
Knox,Maine,"39,772",
Lincoln,Maine,"34,634",
Oxford,Maine,"57,975",
Penobscot,Maine,"152,148","Bangor, ME Metropolitan Statistical Area"
Piscataquis,Maine,"16,785",
Sagadahoc,Maine,"35,856","Portland-South Portland, ME Metropolitan Statistical Area"
Somerset,Maine,"50,484",
Waldo,Maine,"39,715",
Washington,Maine,"31,379",
York,Maine,"207,641","Portland-South Portland, ME Metropolitan Statistical Area"
Allegany,Maryland,"70,416","Cumberland, MD-WV Metropolitan Statistical Area"
Anne Arundel,Maryland,"579,234","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Baltimore,Maryland,"827,370","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Calvert,Maryland,"92,525","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Caroline,Maryland,"33,406",
Carroll,Maryland,"168,447","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Cecil,Maryland,"102,855","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area"
Charles,Maryland,"163,257","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Dorchester,Maryland,"31,929","Cambridge, MD Micropolitan Statistical Area"
Frederick,Maryland,"259,547","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Garrett,Maryland,"29,014",
Harford,Maryland,"255,441","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Howard,Maryland,"325,690","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Kent,Maryland,"19,422",
Montgomery,Maryland,"1,050,688","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Prince George's,Maryland,"909,327","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Queen Anne's,Maryland,"50,381","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
St. Mary's,Maryland,"113,510","California-Lexington Park, MD Metropolitan Statistical Area"
Somerset,Maryland,"25,616","Salisbury, MD-DE Metropolitan Statistical Area"
Talbot,Maryland,"37,181","Easton, MD Micropolitan Statistical Area"
Washington,Maryland,"151,049","Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area"
Wicomico,Maryland,"103,609","Salisbury, MD-DE Metropolitan Statistical Area"
Worcester,Maryland,"52,276","Salisbury, MD-DE Metropolitan Statistical Area"
Baltimore City[r],Maryland,"593,490","Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Barnstable,Massachusetts,"212,990","Barnstable Town, MA Metropolitan Statistical Area"
Berkshire[n],Massachusetts,"124,944","Pittsfield, MA Metropolitan Statistical Area"
Bristol,Massachusetts,"565,217","Providence-Warwick, RI-MA Metropolitan Statistical Area"
Dukes,Massachusetts,"17,332","Vineyard Haven, MA Micropolitan Statistical Area"
Essex[n],Massachusetts,"789,034","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
Franklin[n],Massachusetts,"70,180","Greenfield Town, MA Micropolitan Statistical Area"
Hampden[n],Massachusetts,"466,372","Springfield, MA Metropolitan Statistical Area"
Hampshire[n],Massachusetts,"160,830","Springfield, MA Metropolitan Statistical Area"
Middlesex[n],Massachusetts,"1,611,699","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
"Nantucket, Town and County of[s]",Massachusetts,"11,399",
Norfolk,Massachusetts,"706,775","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
Plymouth,Massachusetts,"521,202","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
Suffolk[n],Massachusetts,"803,907","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
Worcester[n],Massachusetts,"830,622","Worcester, MA-CT Metropolitan Statistical Area"
Alcona,Michigan,"10,405",
Alger,Michigan,"9,108",
Allegan,Michigan,"118,081","Holland, MI Micropolitan Statistical Area"
Alpena,Michigan,"28,405","Alpena, MI Micropolitan Statistical Area"
Antrim,Michigan,"23,324",
Arenac,Michigan,"14,883",
Baraga,Michigan,"8,209",
Barry,Michigan,"61,550","Grand Rapids-Wyoming, MI Metropolitan Statistical Area"
Bay,Michigan,"103,126","Bay City, MI Metropolitan Statistical Area"
Benzie,Michigan,"17,766","Traverse City, MI Micropolitan Statistical Area"
